"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$34,425,323,000","0.00%","47.56","7.39","3.06","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$34,126,199,107","3.32%","9.89","2.18","0.80","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$33,989,670,191","2.65%","9.51","0.68","1.44","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$33,976,953,771","1.51%","10.80","2.46","6.65","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$33,764,584,067","1.87%","31.04","0.00","3.58","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$33,716,066,396","1.39%","16.92","1.40","2.78","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$33,618,693,303","1.86%","20.63","5.06","-4.00","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$33,207,944,761","1.50%","12.38","1.61","4.64","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$33,143,707,361","1.11%","21.59","2.06","4.77","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$33,104,413,029","5.19%","28.43","2.68","1.40","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$33,027,422,494","5.86%","4.75","0.57","1.73","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$33,019,165,971","0.00%","105.60","16.49","5.60","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$32,879,385,716","0.00%","41.84","10.04","48.04","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$32,859,906,188","1.28%","28.18","1.73","7.89","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$32,678,924,877","0.56%","114.29","9.01","5.52","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$32,435,501,434","1.11%","25.41","8.65","8.14","Analyze"
"WBD","Warner Bros. Discovery, Inc. - Series A","Common stocks","Large cap","Communication Services","$32,408,364,694","0.00%","23.38","2.58","2.43","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$32,398,584,941","1.17%","18.94","0.14","59.45","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$32,377,091,485","1.67%","12.26","1.71","2.25","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$32,353,843,776","0.77%","39.27","9.41","9.33","Analyze"
"VICI","VICI Properties Inc","REITs","Large cap","Real Estate","$31,493,299,630","4.42%","31.30","20.29","2.00","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$31,358,122,680","5.18%","4.92","0.23","1.16","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$31,220,259,044","0.44%","-49.29","1.49","2.78","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$31,213,129,221","0.00%","34.39","6.22","-10.53","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$31,210,315,210","3.53%","20.58","2.22","1.54","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$31,106,975,925","0.00%","29.18","6.05","7.90","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$30,736,498,266","0.88%","25.17","3.54","1.01","Analyze"
"NDAQ","Nasdaq Inc","Common stocks","Large cap","Financials","$30,628,190,500","1.21%","25.81","5.31","5.03","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$30,499,736,998","0.40%","25.91","5.42","8.39","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$30,311,225,061","0.65%","28.99","5.24","4.36","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$30,160,073,345","2.84%","17.45","5.07","1.65","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$29,948,694,180","1.12%","25.65","2.20","14.43","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$29,790,070,366","1.47%","23.42","2.08","-5.82","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$29,748,531,866","0.98%","66.58","12.50","-5.37","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$29,527,384,286","0.00%","15.66","7.42","6.39","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$29,511,053,874","1.74%","43.47","4.03","10.65","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$29,402,942,293","2.18%","19.13","1.84","1.14","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$29,004,205,125","3.08%","21.03","3.40","2.53","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$28,827,366,352","0.00%","34.78","7.56","326.24","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$28,541,825,147","1.88%","92.59","1.39","1.80","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$28,483,523,034","0.67%","25.87","9.35","9.76","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$28,385,424,726","2.10%","5.34","2.33","1.99","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$28,100,791,743","3.74%","-21.93","3.07","2.09","Analyze"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$28,015,396,388","3.55%","4.11","0.43","-11.52","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$27,967,864,940","2.52%","28.07","4.44","8.79","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$27,841,197,655","4.90%","19.89","6.24","1.54","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$27,539,618,403","3.19%","24.85","1.90","2.18","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$27,512,955,506","1.58%","10.03","3.43","2.16","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$27,400,734,315","0.00%","24.94","8.14","6.20","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$27,300,346,937","3.10%","10.06","2.41","1.02","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$27,283,463,217","2.02%","81.20","5.39","1.48","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$27,091,449,589","2.11%","24.06","2.00","2.80","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$26,884,642,649","1.16%","5.08","0.88","1.53","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$26,838,545,354","6.09%","17.62","1.43","4.42","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$26,793,122,916","2.08%","23.90","1.56","4.15","Analyze"
"ON","ON Semiconductor Corp","Common stocks","Large cap","Information Technology","$26,697,831,397","0.00%","17.65","3.71","5.12","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$26,669,206,466","3.23%","20.34","2.54","1.78","Analyze"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$25,845,194,089","3.04%","15.33","1.81","6.23","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$25,790,465,648","1.76%","19.46","6.64","3.36","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$25,705,517,175","0.00%","31.49","5.25","213.75","Analyze"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$25,551,749,258","5.71%","4.33","0.51","2.00","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$25,426,342,425","1.15%","16.92","2.43","2.96","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$25,370,878,706","2.22%","27.02","2.12","3.52","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$25,303,171,808","1.93%","26.96","1.28","6.95","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$24,814,563,421","0.00%","77.33","1.57","2.96","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$24,565,585,818","3.39%","9.49","3.49","1.15","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$24,510,962,317","3.59%","21.16","10.40","2.17","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$24,478,849,407","1.48%","23.39","1.89","13.10","Analyze"
"CTRA","Coterra Energy Inc.","Common stocks","Large cap","Energy","$24,464,551,693","1.84%","14.85","5.24","2.08","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$24,334,699,263","3.29%","42.77","1.96","1.14","Analyze"
"WTW","Willis Towers Watson Public Limited Company","Common stocks","Large cap","Financials","$23,942,161,765","1.47%","5.45","2.62","2.14","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$23,903,371,690","3.87%","17.27","9.49","2.15","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$23,841,460,792","4.32%","7.91","3.09","2.50","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$23,821,612,084","3.19%","24.94","14.33","6.43","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$23,753,274,074","3.18%","58.26","10.56","1.39","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$23,466,218,248","0.86%","55.08","3.07","1.84","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$23,456,615,024","2.08%","9.10","1.09","1.46","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$23,318,270,958","1.15%","23.21","1.06","26.15","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$23,217,209,512","1.82%","5.12","0.83","0.97","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$23,080,449,412","4.55%","38.18","1.45","1.42","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$22,994,734,596","0.00%","11.08","0.79","2.57","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$22,622,499,697","0.44%","34.27","4.21","2.31","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$22,364,517,630","2.30%","8.02","2.07","2.11","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$22,261,884,097","0.00%","14.14","2.19","3.60","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$22,044,979,416","3.99%","19.86","3.52","1.17","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$22,034,237,218","3.68%","20.98","1.87","1.89","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$22,012,641,427","2.86%","13.74","1.55","1.81","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$21,966,757,752","4.00%","17.68","1.93","2.50","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$21,933,199,028","0.00%","37.58","1.19","2.11","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$21,900,750,517","0.95%","37.20","3.64","3.42","Analyze"
"MRO","Marathon Oil Corp","Common stocks","Large cap","Energy","$21,888,878,269","0.93%","10.33","3.54","1.96","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$21,870,333,511","2.10%","1.83","2.13","3.02","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Utilities","$21,801,786,247","3.11%","24.00","1.35","2.45","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$21,620,493,704","0.85%","14.24","4.14","1.26","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$21,615,472,156","0.00%","21.60","2.50","13.87","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$21,563,164,614","0.00%","39.73","0.61","6.85","Analyze"
"CF","CF Industries Holdings Inc","Common stocks","Large cap","Materials","$21,480,285,673","1.29%","12.72","2.57","5.24","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$21,217,394,083","2.81%","20.78","3.16","2.14","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$21,105,327,325","1.87%","25.70","3.32","4.18","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$20,882,061,338","0.00%","24.12","15.46","-14.87","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$20,850,651,931","0.74%","31.40","3.68","3.22","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$20,837,038,048","3.15%","8.90","3.58","1.21","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$20,788,648,000","0.00%","29.92","0.72","7.38","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$20,782,336,799","0.94%","63.02","8.38","18.80","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$20,691,715,067","0.92%","25.59","4.08","5.10","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$20,631,312,000","0.65%","9.87","1.30","1.93","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$20,571,629,723","0.00%","87.73","18.10","19.41","Analyze"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$20,347,876,092","0.20%","42.95","1.43","4.02","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$20,280,007,117","0.16%","17.01","3.78","2.30","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$20,043,819,136","3.95%","9.63","3.02","0.88","Analyze"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$19,972,402,664","0.49%","14.30","1.95","2.88","Analyze"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$19,753,193,769","2.59%","-20.76","0.11","-28.45","Analyze"
"MOS","Mosaic","Common stocks","Large cap","Materials","$19,710,535,838","0.89%","6.66","1.41","1.52","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$19,693,953,960","2.69%","4.76","0.38","1.01","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$19,633,429,928","0.00%","37.35","4.73","6.77","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$19,560,429,312","3.95%","30.91","3.22","1.41","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$19,387,795,201","0.00%","44.38","5.53","4.87","Analyze"
"INVH","Invitation Homes Inc","REITs","Large cap","Real Estate","$19,351,123,620","2.60%","64.73","9.42","1.88","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$19,088,934,115","0.00%","40.74","9.70","4.23","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$19,016,383,478","1.11%","45.76","3.65","6.04","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$18,790,847,257","0.00%","31.97","3.66","2.34","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$18,624,969,165","1.50%","16.37","2.30","4.22","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$18,506,786,749","0.00%","11.79","3.43","3.82","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$18,477,024,867","3.30%","4.78","0.66","0.87","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$18,408,252,537","0.00%","25.40","6.42","47.74","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$18,266,661,901","0.00%","-39.19","2.35","-33.94","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$18,193,404,186","2.93%","29.59","9.95","2.97","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$18,092,581,399","3.15%","37.23","2.55","42.63","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$17,958,465,073","1.41%","21.49","3.42","5.12","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$17,920,224,745","0.87%","20.43","1.37","5.38","Analyze"
"CNP","Centerpoint Energy Inc","Common stocks","Large cap","Utilities","$17,846,407,527","2.41%","11.20","2.08","1.77","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$17,656,975,817","3.33%","11.33","2.77","1.50","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$17,599,730,896","1.76%","28.57","3.19","8.65","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$17,593,371,340","2.38%","-119.82","1.55","5.75","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$17,506,244,919","3.19%","16.42","1.88","7.47","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$17,485,555,712","0.68%","0.00","1.22","0.00","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$17,289,530,644","1.02%","66.41","3.77","2.47","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$17,257,972,802","2.60%","16.50","1.52","1.95","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$17,257,736,654","4.09%","16.85","1.22","3.55","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$17,238,404,032","0.20%","22.05","3.43","2.24","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$17,238,335,600","0.00%","75.61","16.71","11.34","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$17,125,044,227","0.61%","28.52","2.16","1.69","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$17,116,037,363","0.00%","18.33","5.50","4.43","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$16,990,570,517","0.31%","22.64","5.90","6.66","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$16,846,813,117","1.04%","34.92","5.88","5.74","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Financials","$16,831,099,185","4.26%","7.09","2.41","1.09","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$16,784,010,613","3.16%","15.00","3.30","2.58","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$16,634,319,311","3.14%","16.53","2.16","1.69","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$16,580,793,895","1.26%","10.80","0.92","4.14","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$16,565,942,877","0.72%","26.28","5.28","3.68","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$16,323,746,320","0.81%","56.62","12.26","11.79","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$16,260,852,395","1.81%","8.68","1.52","2.55","Analyze"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$16,239,365,423","0.80%","37.48","9.74","12.92","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$16,234,262,998","1.71%","5.88","1.17","0.60","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$16,234,262,998","1.60%","7.94","1.17","0.82","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$16,174,437,265","2.48%","3.75","1.03","1.12","Analyze"
"SJM","J.M. Smucker","Common stocks","Large cap","Consumer Staples","$15,910,077,182","2.64%","27.50","2.02","1.92","Analyze"
"CPB","Campbell Soup","Common stocks","Large cap","Consumer Staples","$15,758,298,983","2.78%","16.67","1.90","4.58","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$15,595,827,040","2.70%","7.43","1.81","1.26","Analyze"
"BALL","Ball Corporation","Common stocks","Large cap","Materials","$15,545,646,378","1.62%","14.27","1.08","4.11","Analyze"
"TRGP","Targa Resources Corp","Common stocks","Large cap","Energy","$15,519,182,791","2.03%","-123.83","0.85","9.30","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$15,507,009,986","4.77%","8.78","0.00","5.00","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$15,437,312,369","2.79%","14.53","2.49","16.67","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$15,352,967,227","4.62%","102.03","3.90","1.38","Analyze"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$15,096,352,230","0.22%","47.48","2.97","4.22","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$15,079,566,196","0.00%","19.45","3.74","3.75","Analyze"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$15,062,209,387","1.76%","20.41","2.90","5.08","Analyze"
"EQT","EQT Corporation","Common stocks","Large cap","Energy","$14,957,124,704","0.98%","-5.49","2.69","1.76","Analyze"
"APA","Apache Corp","Common stocks","Large cap","Energy","$14,951,820,239","1.36%","6.20","1.70","16.57","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$14,906,268,957","3.77%","11.69","1.04","4.84","Analyze"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$14,866,314,126","2.54%","20.20","3.92","1.63","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$14,832,202,764","0.00%","26.39","3.94","3.23","Analyze"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$14,679,863,823","1.86%","12.91","1.11","2.45","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$14,666,955,802","0.96%","36.43","7.68","9.85","Analyze"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$14,589,094,823","4.84%","32.40","3.13","19.11","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$14,543,682,449","0.00%","61.97","1.51","6.41","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$14,335,846,439","3.88%","35.23","9.77","2.33","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$14,302,933,547","0.12%","18.69","1.14","2.05","Analyze"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$14,138,782,961","1.38%","38.95","0.00","3.68","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$14,128,091,163","0.03%","8.06","1.30","2.44","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$14,037,565,459","3.70%","17.43","2.70","1.53","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$14,004,124,298","0.00%","21.54","3.98","3.08","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$14,000,490,338","0.00%","14.96","4.64","4.50","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$13,948,995,558","0.00%","9.43","1.50","4.89","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$13,938,928,817","0.00%","-6.74","0.48","3.69","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$13,865,708,147","2.64%","9.64","2.73","2.55","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$13,863,382,050","0.00%","30.15","7.38","6.94","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$13,767,529,815","0.02%","13.96","4.55","1.89","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$13,714,456,373","1.69%","18.68","1.58","7.05","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$13,528,666,199","0.00%","7.17","2.41","0.77","Analyze"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$13,507,557,339","1.51%","26.49","3.91","3.71","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$13,482,874,832","1.11%","38.32","0.00","1.86","Analyze"
"L","Loews Corp","Common stocks","Large cap","Financials","$13,412,254,167","0.44%","7.92","0.99","0.79","Analyze"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$13,309,277,040","3.58%","14.00","8.82","1.28","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$13,257,977,060","0.00%","-2.59","5.20","3.44","Analyze"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$13,206,247,590","3.21%","19.24","3.44","2.15","Analyze"
"NLOK","NortonLifeLock Inc.","Common stocks","Large cap","Information Technology","$13,118,565,312","2.16%","19.55","4.69","-133.26","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$13,084,921,548","0.00%","74.09","7.46","5.10","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$12,969,584,515","3.72%","80.33","9.63","3.70","Analyze"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$12,915,314,622","0.96%","25.08","5.28","5.62","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$12,890,589,730","0.52%","12.85","3.51","5.07","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$12,842,038,224","4.96%","30.20","6.62","2.02","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$12,561,808,561","4.97%","2.43","0.44","0.44","Analyze"
"SEDG","SolarEdge Technologies Inc","Common stocks","Large cap","Information Technology","$12,475,985,946","0.00%","72.35","5.64","6.20","Analyze"
"RE","Everest Re Group Ltd","Common stocks","Large cap","Financials","$12,454,886,410","2.01%","9.77","1.09","1.37","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$12,429,838,646","4.51%","69.93","0.70","0.57","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$12,423,105,243","0.00%","42.64","3.99","-98.89","Analyze"
"LW","Lamb Weston Holdings Inc","Common stocks","Large cap","Consumer Staples","$12,395,373,161","1.12%","52.07","3.14","31.11","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$12,341,542,940","0.00%","14.46","2.16","4.05","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$12,293,335,239","3.13%","33.20","10.35","2.78","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$12,131,170,016","0.41%","53.07","11.27","6.98","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$12,120,741,974","2.23%","11.64","0.48","5.23","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$11,938,945,441","1.17%","15.57","2.11","9.70","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$11,925,615,402","5.43%","6.59","0.62","1.31","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$11,803,568,934","1.27%","25.77","2.69","-2.97","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$11,793,419,755","2.54%","13.88","2.52","2.73","Analyze"
